fold,auc_val_after_head,auc_val_after_finetune,delta
0,0.9045493602752686,0.9075255393981934,0.0029761791229248047
1,0.8295756578445435,0.8282493352890015,-0.0013263225555419922
2,0.8146153688430786,0.812692403793335,-0.0019229650497436523
3,0.7341462969779968,0.7384824156761169,0.004336118698120117
4,0.9304419159889221,0.9308511018753052,0.00040918588638305664
