,grouping duplikat visual,grouping partisipan,selisih (inflasi)
AUC mean,0.8350534289924761,0.8847619047619049,-0.04970847576942872
AUC SD,0.07726823433793666,0.1289412670177242,-0.05167303267978755
balanced acc mean,0.7467862229303877,0.6997619047619047,0.04702431816848296
balanced acc SD,0.07356962193599388,0.09651084086064178,-0.0229412189246479
