fold,group_col,mode,threshold,auc_val,auc_test,acc_test,bacc_test,auc_val_after_head,auc_val_after_finetune,n_train_child,n_val_child,n_test_child,secs
0,participant_id,plain,0.35000000000000003,1.0,0.7619047619047619,0.7,0.5952380952380952,0.9045493602752686,0.9075255393981934,35,9,10,348.2774131298065
1,participant_id,plain,0.5100000000000001,0.8333333333333333,0.7333333333333334,0.6363636363636364,0.6333333333333333,0.8295756578445435,0.8282493352890015,35,8,11,212.4526650905609
2,participant_id,plain,0.5800000000000002,1.0,1.0,0.8181818181818182,0.8,0.8146153688430786,0.812692403793335,34,9,11,181.6218547821045
3,participant_id,plain,0.34,0.6875,1.0,0.6363636363636364,0.6666666666666666,0.7341462969779968,0.7384824156761169,35,8,11,206.2703037261963
4,participant_id,plain,0.6000000000000002,1.0,0.9285714285714286,0.8181818181818182,0.8035714285714286,0.9304419159889221,0.9308511018753052,35,8,11,224.1117606163025
