fold,group_col,mode,threshold,auc_val,auc_test,acc_test,bacc_test,auc_val_after_head,auc_val_after_finetune,n_train_child,n_val_child,n_test_child,secs
0,dhash_group,plain,0.5300000000000001,0.9388235294117647,0.7917620137299771,0.6904761904761905,0.6853546910755148,0.8285714983940125,0.8343406915664673,51,42,42,225.3413074016571
1,dhash_group,plain,0.7400000000000002,0.8246753246753247,0.9523809523809523,0.8666666666666667,0.8571428571428572,0.7841997146606445,0.7920656204223633,53,36,45,306.4213092327118
2,dhash_group,plain,0.5900000000000002,0.888095238095238,0.8519230769230769,0.7391304347826086,0.7288461538461539,0.8372615575790405,0.8361392021179199,52,41,46,162.5484766960144
3,dhash_group,tta_6,0.4700000000000001,0.8907563025210085,0.7458677685950412,0.6818181818181818,0.6818181818181818,0.8119897842407227,0.8114796280860901,54,38,44,188.07372307777405
4,dhash_group,tta_6,0.5500000000000002,0.8658823529411765,0.8333333333333334,0.8292682926829268,0.7807692307692308,0.8188266158103943,0.8172146677970886,52,42,41,207.91935062408447
